date,pnl,backtest
2024-07-15,-989.43,-829.13
2024-07-16,-383.19,-628.32
2024-07-17,-745.22,-640.55
2024-07-18,4.94,-135.81
2024-07-19,-1226.89,-1116.29
2024-07-22,-282.08,-54.45
2024-07-23,-482.28,-438.61
2024-07-24,634.86,486.8
2024-07-25,532.72,518.42
2024-07-26,709.93,736.13
2024-07-29,569.95,423.74
2024-07-30,-82.57,13.49
2024-07-31,596.06,469.9
2024-08-01,857.16,792.74
2024-08-02,-423.43,-286.8
2024-08-05,500.97,345.18
2024-08-06,203.94,18.66
2024-08-07,740.15,760.01
2024-08-08,-344.02,-378.45
2024-08-09,-136.51,-110.77
2024-08-12,68.96,221.17
2024-08-13,303.5,169.06
2024-08-14,-915.42,-779.72
2024-08-15,314.28,220.08
2024-08-16,-83.98,-19.25
2024-08-19,-219.14,-79.87
2024-08-20,68.97,-37.65
2024-08-21,199.0,149.49
2024-08-22,-577.04,-868.2
2024-08-23,820.0,816.23
2024-08-26,-353.98,-390.72
2024-08-27,-1048.99,-1080.68
2024-08-28,-24.05,-0.99
2024-08-29,980.63,768.74
2024-08-30,20.78,-219.3
2024-09-02,932.36,815.64
2024-09-03,682.15,818.47
2024-09-04,-308.64,-391.37
2024-09-05,-1168.51,-1192.56
2024-09-06,-629.57,-577.59
2024-09-09,416.57,633.72
2024-09-10,-220.22,-368.39
2024-09-11,-519.76,-715.34
2024-09-12,-566.47,-628.85
2024-09-13,124.11,40.09
2024-09-16,306.36,26.95
2024-09-17,782.02,476.02
2024-09-18,583.62,534.52
2024-09-19,-838.19,-426.12
2024-09-20,84.25,-38.38
2024-09-23,-488.34,-526.97
2024-09-24,194.4,75.95
2024-09-25,-597.13,-535.3
2024-09-26,-694.67,-560.13
2024-09-27,1193.62,1101.71
2024-09-30,26.69,56.19
2024-10-01,392.21,361.59
2024-10-02,1386.54,1309.05
2024-10-03,463.12,432.92
2024-10-04,-218.11,-17.07
2024-10-07,167.57,67.29
2024-10-08,-391.59,-332.25
2024-10-09,569.06,587.17
2024-10-10,-48.44,-125.14
2024-10-11,716.39,921.37
2024-10-14,-159.91,-132.38
2024-10-15,-398.83,-136.81
2024-10-16,-241.97,-169.69
2024-10-17,414.3,352.85
2024-10-18,121.93,133.47
2024-10-21,692.37,725.72
2024-10-22,-142.67,-236.67
2024-10-23,131.56,185.12
2024-10-24,775.8,1008.98
2024-10-25,84.18,-80.19
2024-10-28,341.2,306.31
2024-10-29,946.73,825.94
2024-10-30,257.55,316.72
2024-10-31,-340.97,-277.25
2024-11-01,-1101.75,-991.18
2024-11-04,947.96,1236.58
2024-11-05,184.02,255.16
2024-11-06,578.34,670.26
2024-11-07,35.92,-198.16
2024-11-08,660.94,949.24
2024-11-11,300.22,299.77
2024-11-12,32.88,64.9
2024-11-13,-428.68,-410.91
2024-11-14,194.52,224.09
2024-11-15,-178.19,-203.27
