qt,atm_iv,term_slope_front,term_slope_back,skew_25,gex_bn_per_pct,dex_m_shares
2024-06-04 10:30:00,0.1865,-0.0068,0.0031,0.0559,1.777,14.15
2024-06-05 10:30:00,0.1652,-0.014,0.0078,0.0466,0.247,-17.17
2024-06-06 10:30:00,0.1731,-0.0127,0.0069,0.0431,0.626,-5.83
2024-06-07 10:30:00,0.1824,-0.0054,0.0089,0.0372,2.887,8.98
2024-06-10 10:30:00,0.1703,-0.0463,0.0086,0.0583,1.468,-70.26
2024-06-11 10:30:00,0.1651,-0.0022,0.0088,0.0316,2.437,-10.06
2024-06-12 10:30:00,0.1621,0.0013,0.0114,0.0294,2.642,-24.48
2024-06-13 10:30:00,0.1924,-0.0132,0.0032,0.0396,2.021,-14.19
2024-06-14 10:30:00,0.1995,0.0101,0.009,0.0181,2.132,2.53
2024-06-17 10:30:00,0.1739,-0.0186,0.009,0.0523,-1.933,5.76
2024-06-18 10:30:00,0.1731,-0.0149,0.011,0.039,-0.885,35.8
2024-06-19 10:30:00,0.1791,-0.0056,0.0054,0.0482,1.498,-4.99
2024-06-20 10:30:00,0.1959,-0.0015,0.008,0.0422,1.875,-30.41
2024-06-21 10:30:00,0.1856,-0.0273,0.0087,0.0749,-0.781,34.29
2024-06-24 10:30:00,0.1616,-0.0203,0.0082,0.0444,-1.469,-3.96
2024-06-25 10:30:00,0.1651,0.0003,0.0052,0.0484,0.335,-37.75
2024-06-26 10:30:00,0.173,-0.0271,0.0116,0.0278,1.414,-3.07
2024-06-27 10:30:00,0.1666,-0.0119,0.0068,0.0562,1.126,6.89
2024-06-28 10:30:00,0.1755,0.0003,0.0131,0.0272,1.646,4.74
2024-07-01 10:30:00,0.1666,-0.0156,0.0034,0.0486,3.342,-12.13
2024-07-02 10:30:00,0.1901,0.0005,0.0037,0.0129,0.001,-18.43
2024-07-03 10:30:00,0.1877,-0.0068,0.008,0.0323,2.096,14.65
2024-07-04 10:30:00,0.1914,-0.0004,0.0094,0.0443,0.346,-17.01
2024-07-05 10:30:00,0.1655,-0.0036,0.0107,0.0536,1.086,-36.9
2024-07-08 10:30:00,0.1983,-0.0305,-0.0,0.0704,-1.332,-32.56
