strike,expiration,option_type,implied_volatility,delta,gamma,theta,vega,bid,ask,open_interest,trade_volume,spot,qt
470.0,2026-07-09,P,0.26382,-0.00611,0.000459,-0.01352,2.45994,0.06,0.1,5,0,555.56,2026-06-15 10:30:00
470.0,2026-07-09,C,0.26382,0.99389,0.000459,-0.01352,2.45994,85.29,85.98,5,0,555.56,2026-06-15 10:30:00
475.0,2026-07-09,P,0.25703,-0.00798,0.000597,-0.01668,3.11562,0.08,0.12,5,0,555.56,2026-06-15 10:30:00
475.0,2026-07-09,C,0.25703,0.99202,0.000597,-0.01668,3.11562,80.33,80.98,5,0,555.56,2026-06-15 10:30:00
480.0,2026-07-09,P,0.25051,-0.0105,0.00078,-0.02068,3.96305,0.11,0.15,5,0,555.56,2026-06-15 10:30:00
480.0,2026-07-09,C,0.25051,0.9895,0.00078,-0.02068,3.96305,75.38,75.99,5,0,555.56,2026-06-15 10:30:00
485.0,2026-07-09,P,0.24425,-0.01391,0.00102,-0.02572,5.05481,0.15,0.19,5,0,555.56,2026-06-15 10:30:00
485.0,2026-07-09,C,0.24425,0.98609,0.00102,-0.02572,5.05481,70.45,71.01,5,0,555.56,2026-06-15 10:30:00
490.0,2026-07-09,P,0.23825,-0.01849,0.001335,-0.03203,6.45377,0.21,0.25,5,0,555.56,2026-06-15 10:30:00
490.0,2026-07-09,C,0.23825,0.98151,0.001335,-0.03203,6.45377,65.53,66.05,5,0,555.56,2026-06-15 10:30:00
495.0,2026-07-09,P,0.23249,-0.02467,0.001745,-0.03987,8.23234,0.29,0.33,6,0,555.56,2026-06-15 10:30:00
495.0,2026-07-09,C,0.23249,0.97533,0.001745,-0.03987,8.23234,60.63,61.12,6,0,555.56,2026-06-15 10:30:00
500.0,2026-07-09,P,0.22698,-0.03293,0.002273,-0.04951,10.46941,0.41,0.45,8,0,555.56,2026-06-15 10:30:00
500.0,2026-07-09,C,0.22698,0.96707,0.002273,-0.04951,10.46941,55.76,56.21,8,0,555.56,2026-06-15 10:30:00
505.0,2026-07-09,P,0.2217,-0.04393,0.002944,-0.06117,13.24406,0.56,0.6,12,0,555.56,2026-06-15 10:30:00
505.0,2026-07-09,C,0.2217,0.95607,0.002944,-0.06117,13.24406,50.93,51.34,12,0,555.56,2026-06-15 10:30:00
510.0,2026-07-09,P,0.21665,-0.05845,0.003781,-0.07504,16.62484,0.77,0.81,18,0,555.56,2026-06-15 10:30:00
510.0,2026-07-09,C,0.21665,0.94155,0.003781,-0.07504,16.62484,46.16,46.53,18,0,555.56,2026-06-15 10:30:00
515.0,2026-07-09,P,0.21181,-0.07739,0.004805,-0.09114,20.65373,1.06,1.1,28,0,555.56,2026-06-15 10:30:00
515.0,2026-07-09,C,0.21181,0.92261,0.004805,-0.09114,20.65373,41.47,41.8,28,0,555.56,2026-06-15 10:30:00
520.0,2026-07-09,P,0.2072,-0.10178,0.006023,-0.10932,25.3249,1.44,1.48,43,0,555.56,2026-06-15 10:30:00
520.0,2026-07-09,C,0.2072,0.89822,0.006023,-0.10932,25.3249,36.87,37.16,43,0,555.56,2026-06-15 10:30:00
525.0,2026-07-09,P,0.20279,-0.13265,0.007425,-0.12911,30.55988,1.95,1.99,64,0,555.56,2026-06-15 10:30:00
525.0,2026-07-09,C,0.20279,0.86735,0.007425,-0.12911,30.55988,32.4,32.66,64,0,555.56,2026-06-15 10:30:00
530.0,2026-07-09,P,0.19859,-0.17099,0.008978,-0.1497,36.18335,2.63,2.67,90,0,555.56,2026-06-15 10:30:00
530.0,2026-07-09,C,0.19859,0.82901,0.008978,-0.1497,36.18335,28.1,28.32,90,0,555.56,2026-06-15 10:30:00
535.0,2026-07-09,P,0.19459,-0.21752,0.010612,-0.16988,41.90643,3.51,3.55,120,0,555.56,2026-06-15 10:30:00
535.0,2026-07-09,C,0.19459,0.78248,0.010612,-0.16988,41.90643,23.99,24.19,120,0,555.56,2026-06-15 10:30:00
540.0,2026-07-09,P,0.19078,-0.27257,0.012224,-0.1881,47.32642,4.64,4.68,151,0,555.56,2026-06-15 10:30:00
540.0,2026-07-09,C,0.19078,0.72743,0.012224,-0.1881,47.32642,20.14,20.3,151,0,555.56,2026-06-15 10:30:00
545.0,2026-07-09,P,0.18716,-0.33587,0.013678,-0.20257,51.95203,6.06,6.11,178,0,555.56,2026-06-15 10:30:00
545.0,2026-07-09,C,0.18716,0.66413,0.013678,-0.20257,51.95203,16.58,16.71,178,0,555.56,2026-06-15 10:30:00
